Month,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60,,,
1949-01,112,21.16601049,25.44,0.008928571
1949-02,118,21.72556098,39.24,0.008474576
1949-03,132,22.97825059,74.24,0.007575758
1949-04,129,22.71563338,66.41,0.007751938
1949-05,121,22,46.41,0.008264463
1949-06,135,23.23790008,82.25,0.007407407
1949-07,148,24.33105012,119.04,0.006756757
1949-08,148,24.33105012,119.04,0.006756757
1949-09,136,23.32380758,84.96,0.007352941
1949-10,119,21.81742423,41.61,0.008403361
1949-11,104,20.39607805,8.16,0.009615385
1949-12,118,21.72556098,39.24,0.008474576
1950-01,115,21.44761059,32.25,0.008695652
1950-02,126,22.44994432,58.76,0.007936508
1950-03,141,23.74868417,98.81,0.007092199
1950-04,135,23.23790008,82.25,0.007407407
1950-05,125,22.36067977,56.25,0.008
1950-06,149,24.41311123,122.01,0.006711409
1950-07,170,26.07680962,189,0.005882353
1950-08,170,26.07680962,189,0.005882353
1950-09,158,25.13961018,149.64,0.006329114
1950-10,133,23.06512519,76.89,0.007518797
1950-11,114,21.3541565,29.96,0.00877193
1950-12,140,23.66431913,96,0.007142857
1951-01,145,24.08318916,110.25,0.006896552
1951-02,150,24.49489743,125,0.006666667
1951-03,178,26.68332813,216.84,0.005617978
1951-04,163,25.53429067,165.69,0.006134969
1951-05,172,26.2297541,195.84,0.005813953
1951-06,178,26.68332813,216.84,0.005617978
1951-07,199,28.21347196,296.01,0.005025126
1951-08,199,28.21347196,296.01,0.005025126
1951-09,184,27.12931993,238.56,0.005434783
1951-10,162,25.45584412,162.44,0.00617284
1951-11,146,24.16609195,113.16,0.006849315
1951-12,166,25.76819745,175.56,0.006024096
1952-01,171,26.15339366,192.41,0.005847953
1952-02,180,26.83281573,224,0.005555556
1952-03,193,27.78488798,272.49,0.005181347
1952-04,181,26.90724809,227.61,0.005524862
1952-05,183,27.05549852,234.89,0.005464481
1952-06,218,29.52964612,375.24,0.004587156
1952-07,230,30.33150178,429,0.004347826
1952-08,242,31.11269837,485.64,0.004132231
1952-09,209,28.91366459,336.81,0.004784689
1952-10,191,27.64054992,264.81,0.005235602
1952-11,172,26.2297541,195.84,0.005813953
1952-12,194,27.85677655,276.36,0.005154639
1953-01,196,28,284.16,0.005102041
1953-02,196,28,284.16,0.005102041
1953-03,236,30.72458299,456.96,0.004237288
1953-04,235,30.65941943,452.25,0.004255319
